epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5517,1.20826,1.25874,0.92965,0,0,0,0,2.47122,3.87121,1.68631,0.06755,0.000327778,0.000327778
2,43.8635,1.1683,1.00577,0.91786,0.59155,0.14894,0.36886,0.25009,2.61634,2.39767,1.94176,0.0345467,0.000657839,0.000657839
3,67.9237,1.21628,1.01647,0.94932,0.38476,0.35705,0.324,0.18574,2.67623,2.30492,2.06486,0.00154016,0.000984599,0.000984599
4,90.1559,1.15573,0.95702,0.93426,0.37702,0.42063,0.35921,0.18759,2.62627,2.21556,2.04646,0.00098515,0.00098515,0.00098515
5,112.269,1.16131,0.9446,0.9364,0.39841,0.3227,0.30331,0.17346,2.88248,2.51304,2.18791,0.0009802,0.0009802,0.0009802
6,134.792,1.17599,0.95351,0.93444,0.30009,0.3227,0.2605,0.15716,2.63892,2.45413,1.94801,0.00097525,0.00097525,0.00097525
7,157.755,1.1687,0.93467,0.92871,0.344,0.34959,0.29573,0.16338,2.5918,2.75642,1.98103,0.0009703,0.0009703,0.0009703
8,179.233,1.13672,0.90642,0.91774,0.37378,0.32624,0.29202,0.15812,2.68152,2.70786,1.97321,0.00096535,0.00096535,0.00096535
9,201.058,1.11001,0.88116,0.91941,0.42379,0.2695,0.29707,0.16925,2.71073,2.40257,2.04206,0.0009604,0.0009604,0.0009604
10,223.79,1.14056,0.88372,0.92005,0.36553,0.30236,0.29731,0.1664,2.58459,2.48415,1.89565,0.00095545,0.00095545,0.00095545
11,246.059,1.13128,0.87941,0.93431,0.3661,0.35461,0.29495,0.15723,2.51316,2.38676,1.80338,0.0009505,0.0009505,0.0009505
12,267.366,1.15627,0.87629,0.90949,0.41824,0.30593,0.28561,0.15487,2.68182,2.68638,1.99302,0.00094555,0.00094555,0.00094555
13,289.569,1.13719,0.86237,0.92172,0.39285,0.31206,0.26161,0.14294,2.62009,2.95987,1.98827,0.0009406,0.0009406,0.0009406
14,311.732,1.07195,0.85167,0.91682,0.36649,0.29951,0.29304,0.16586,2.59066,2.30389,1.8682,0.00093565,0.00093565,0.00093565
