epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,834.099,1.07652,0.78857,0.90779,0.25415,0.26493,0.14156,0.0755,2.52619,2.54327,2.23089,0.001307,0.001307,0.001307
44,853.554,1.06218,0.79698,0.90113,0.40288,0.29851,0.22522,0.13013,2.36593,2.17136,2.00099,0.0012905,0.0012905,0.0012905
45,873.195,1.04627,0.77916,0.89732,0.39228,0.27239,0.22719,0.12552,2.43648,2.15541,1.99247,0.001274,0.001274,0.001274
46,892.994,1.04921,0.75937,0.89972,0.37446,0.23507,0.19902,0.11558,2.50958,2.26161,2.13813,0.0012575,0.0012575,0.0012575
47,912.486,1.05669,0.76576,0.89558,0.48566,0.25015,0.22544,0.12574,2.54997,2.19609,2.16637,0.001241,0.001241,0.001241
48,932.345,1.0665,0.76504,0.9074,0.38815,0.30224,0.2222,0.11721,2.46901,2.17869,2.02057,0.0012245,0.0012245,0.0012245
49,952.691,1.03772,0.74545,0.90724,0.246,0.32836,0.18579,0.09877,2.47213,2.3692,2.04688,0.001208,0.001208,0.001208
50,973.788,1.03483,0.73251,0.89567,0.2467,0.26395,0.18398,0.10193,2.43092,2.12822,1.98014,0.0011915,0.0011915,0.0011915
51,995.622,1.03221,0.7252,0.9009,0.31772,0.27612,0.18652,0.1013,2.46546,2.60896,2.06298,0.001175,0.001175,0.001175
52,1014.95,1.03378,0.76437,0.90214,0.31847,0.22388,0.1757,0.08824,2.42453,2.23072,1.97326,0.0011585,0.0011585,0.0011585
53,1034.23,0.99895,0.73735,0.87573,0.2769,0.22761,0.15686,0.08435,2.35841,2.28829,2.02975,0.001142,0.001142,0.001142
54,1053.5,1.04479,0.75449,0.88958,0.40522,0.27612,0.19138,0.10775,2.5352,2.32795,2.15048,0.0011255,0.0011255,0.0011255
55,1072.24,1.01131,0.7294,0.89974,0.27518,0.20149,0.13964,0.07292,2.41353,2.72854,2.02276,0.001109,0.001109,0.001109
56,1091.06,1.03493,0.72108,0.88639,0.42415,0.24254,0.20817,0.12442,2.28208,2.29557,1.96936,0.0010925,0.0010925,0.0010925
57,1109.91,1.02658,0.75506,0.92619,0.41549,0.25373,0.22887,0.13306,2.36438,2.17214,1.94897,0.001076,0.001076,0.001076
58,1128.66,0.98111,0.6985,0.883,0.35441,0.30597,0.21275,0.12845,2.42264,2.62348,2.04778,0.0010595,0.0010595,0.0010595
59,1147.77,0.9969,0.70256,0.86792,0.32446,0.27239,0.1829,0.10508,2.48678,2.25497,2.13468,0.001043,0.001043,0.001043
60,1166.87,0.96056,0.67252,0.87942,0.36114,0.24468,0.19927,0.11329,2.43481,2.16046,2.10079,0.0010265,0.0010265,0.0010265
61,1186.19,0.95643,0.6873,0.88059,0.26626,0.23507,0.15917,0.08594,2.45903,2.25005,2.14369,0.00101,0.00101,0.00101
62,1205.5,0.93765,0.65521,0.87751,0.3011,0.22388,0.18367,0.09832,2.43001,2.63352,1.98723,0.0009935,0.0009935,0.0009935
63,1224.6,0.95747,0.68822,0.88653,0.38902,0.29104,0.23554,0.1289,2.38704,2.33235,1.96519,0.000977,0.000977,0.000977
64,1245,0.95468,0.67133,0.86458,0.39295,0.27985,0.20975,0.11636,2.34077,2.32081,1.95776,0.0009605,0.0009605,0.0009605
65,1264.68,0.94479,0.66313,0.87316,0.30766,0.20522,0.13984,0.07904,2.46357,2.80072,2.19415,0.000944,0.000944,0.000944
66,1284.2,0.94089,0.65296,0.8713,0.36764,0.3209,0.22705,0.12457,2.41978,2.12655,2.06011,0.0009275,0.0009275,0.0009275
67,1303.98,0.95846,0.65326,0.8723,0.28281,0.26866,0.15071,0.07847,2.48027,2.71595,2.21882,0.000911,0.000911,0.000911
68,1323.57,0.96346,0.66764,0.8799,0.23342,0.29104,0.1692,0.09073,2.34787,2.39502,2.03686,0.0008945,0.0008945,0.0008945
69,1343.06,0.90862,0.63596,0.87064,0.23697,0.27239,0.1747,0.10301,2.42419,2.19362,2.12892,0.000878,0.000878,0.000878
70,1362.32,0.92142,0.6289,0.87134,0.32565,0.27239,0.18141,0.10339,2.46226,2.3298,2.16128,0.0008615,0.0008615,0.0008615
71,1381.83,0.92998,0.66085,0.86822,0.28326,0.26119,0.17136,0.09155,2.44432,2.49962,2.12998,0.000845,0.000845,0.000845
72,1402.01,0.93719,0.66707,0.87614,0.33384,0.20522,0.16592,0.09245,2.48814,2.44555,2.1499,0.0008285,0.0008285,0.0008285
73,1421.39,0.92447,0.64125,0.87782,0.42452,0.26119,0.21967,0.1305,2.44249,2.43653,2.05523,0.000812,0.000812,0.000812
74,1440.95,0.90919,0.63926,0.88194,0.42543,0.23134,0.21554,0.12769,2.38093,2.25762,1.98595,0.0007955,0.0007955,0.0007955
75,1460.45,0.89907,0.62754,0.87013,0.35923,0.23507,0.1911,0.11421,2.4238,2.22564,2.10802,0.000779,0.000779,0.000779
76,1479.96,0.93199,0.6354,0.87728,0.3129,0.26866,0.17727,0.10029,2.40523,2.37494,2.08222,0.0007625,0.0007625,0.0007625
77,1499.59,0.90383,0.63143,0.87003,0.3243,0.27985,0.21042,0.12174,2.39587,2.16378,2.04084,0.000746,0.000746,0.000746
78,1519.39,0.92653,0.62979,0.88263,0.34917,0.22015,0.18671,0.10817,2.42905,2.44359,2.08706,0.0007295,0.0007295,0.0007295
79,1539.02,0.913,0.63093,0.86205,0.40355,0.24236,0.19114,0.1132,2.43182,2.3738,2.11745,0.000713,0.000713,0.000713
80,1558.4,0.90513,0.62665,0.8849,0.40898,0.2453,0.20806,0.12426,2.4103,2.24677,2.07596,0.0006965,0.0006965,0.0006965
81,1578.08,0.9207,0.62246,0.87409,0.30954,0.29104,0.20182,0.11651,2.44528,2.12926,2.13405,0.00068,0.00068,0.00068
82,1597.85,0.90856,0.61236,0.85819,0.40801,0.22761,0.1951,0.11215,2.40057,2.23134,2.08556,0.0006635,0.0006635,0.0006635
83,1616.8,0.87447,0.60042,0.86709,0.29651,0.29095,0.20511,0.11646,2.42055,2.20677,2.04717,0.000647,0.000647,0.000647
84,1635.76,0.89142,0.61019,0.88779,0.37907,0.26119,0.22667,0.12483,2.36072,2.2009,1.9362,0.0006305,0.0006305,0.0006305
85,1654.73,0.87565,0.58549,0.85862,0.35333,0.20896,0.16647,0.10149,2.41523,2.39059,2.11367,0.000614,0.000614,0.000614
86,1673.69,0.91113,0.62697,0.87065,0.36971,0.19776,0.17157,0.10505,2.47726,2.43051,2.15205,0.0005975,0.0005975,0.0005975
87,1692.62,0.83935,0.57184,0.8638,0.34242,0.26866,0.21873,0.12936,2.42963,2.162,2.07082,0.000581,0.000581,0.000581
88,1711.56,0.86771,0.59981,0.8734,0.29039,0.31716,0.21523,0.11864,2.44715,2.49532,2.08253,0.0005645,0.0005645,0.0005645
89,1730.5,0.85902,0.57231,0.85504,0.30245,0.22015,0.16532,0.0987,2.54956,2.40588,2.26816,0.000548,0.000548,0.000548
90,1749.46,0.87413,0.59435,0.88648,0.36787,0.21642,0.17652,0.10573,2.45941,2.42497,2.17893,0.0005315,0.0005315,0.0005315
91,1768.8,0.8241,0.55547,0.85389,0.23505,0.27239,0.17516,0.10344,2.42278,2.36768,2.11074,0.000515,0.000515,0.000515
92,1788.25,0.85616,0.57151,0.86548,0.28341,0.24627,0.18165,0.10895,2.42242,2.27737,2.15035,0.0004985,0.0004985,0.0004985
