epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.154,4.48723,26.9628,3.05383,0,0,0,0,5.08795,5.21786,4.06204,0.00331884,0.00331884,0.00331884
2,104.097,3.3791,7.20613,2.36699,0.24123,0.27881,0.18833,0.05104,2.91824,2.63226,2.48512,0.006639,0.006639,0.006639
3,156.491,2.58953,3.36582,1.80225,0.23449,0.26394,0.15911,0.04487,2.93889,2.88748,2.47446,0.00994596,0.00994596,0.00994596
4,206.3,2.63903,2.62617,1.79872,0.2389,0.34201,0.20129,0.06051,2.6822,2.32276,2.01103,0.0099406,0.0099406,0.0099406
5,259.689,2.35436,2.31141,1.64398,0.43521,0.42751,0.37528,0.13478,2.49631,2.1506,1.97945,0.0099208,0.0099208,0.0099208
6,314.438,2.35634,2.09318,1.60755,0.4798,0.41264,0.43717,0.16632,2.32348,1.63807,1.79451,0.009901,0.009901,0.009901
7,365.266,2.16839,1.91572,1.49056,0.35636,0.39033,0.30985,0.11649,2.47405,2.75228,1.94943,0.0098812,0.0098812,0.0098812
8,415.955,2.20659,1.87495,1.52271,0.3559,0.53532,0.33631,0.12309,2.29285,1.85813,1.783,0.0098614,0.0098614,0.0098614
9,465.771,2.0762,1.86867,1.44521,0.69113,0.33829,0.48806,0.18292,2.4192,2.82676,1.86493,0.0098416,0.0098416,0.0098416
10,516.192,2.06803,1.7787,1.43047,0.49654,0.52416,0.50612,0.21993,2.11767,1.64708,1.66776,0.0098218,0.0098218,0.0098218
11,568.199,1.99497,1.72986,1.3649,0.56773,0.50778,0.57273,0.24273,2.16955,1.56323,1.6826,0.009802,0.009802,0.009802
12,621.456,2.0425,1.69019,1.41996,0.47383,0.45195,0.46049,0.18971,2.13296,1.58902,1.65153,0.0097822,0.0097822,0.0097822
13,673.195,1.9881,1.68768,1.34645,0.56026,0.53995,0.56772,0.25188,2.04144,1.64187,1.65802,0.0097624,0.0097624,0.0097624
14,728.288,1.97925,1.59479,1.38299,0.52489,0.50105,0.52931,0.20949,2.12081,1.57563,1.63227,0.0097426,0.0097426,0.0097426
15,780.92,2.01514,1.67624,1.39389,0.61606,0.53089,0.58824,0.26426,1.99083,1.5041,1.57039,0.0097228,0.0097228,0.0097228
16,834.716,1.93905,1.67044,1.33289,0.64457,0.55019,0.63302,0.28078,1.97421,1.40968,1.5567,0.009703,0.009703,0.009703
17,889.308,1.9518,1.6297,1.35603,0.61198,0.60223,0.63101,0.27537,1.97027,1.52877,1.55524,0.0096832,0.0096832,0.0096832
18,942.877,1.90863,1.56649,1.30439,0.6541,0.55019,0.63792,0.29531,1.95679,1.41459,1.56987,0.0096634,0.0096634,0.0096634
19,997.715,1.94765,1.57997,1.34594,0.64088,0.49442,0.60286,0.23934,1.98964,1.44933,1.5421,0.0096436,0.0096436,0.0096436
20,1053.66,1.73212,1.5336,1.22281,0.67607,0.5316,0.6388,0.28532,1.98117,1.4832,1.54045,0.0096238,0.0096238,0.0096238
21,1110.41,1.89208,1.52028,1.31053,0.65325,0.62082,0.68358,0.32094,1.86425,1.37397,1.47926,0.009604,0.009604,0.009604
22,1165.27,1.94351,1.56053,1.31622,0.72983,0.47584,0.61818,0.25493,2.0357,1.49088,1.53952,0.0095842,0.0095842,0.0095842
