epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1903.72,2.56498,2.98746,1.36297,0.48204,0.30255,0.26936,0.11235,1.44524,2.32541,0.94136,0.0015842,0.0015842,0.0015842
44,1948.83,2.66096,3.13065,1.41005,0.35361,0.425,0.23445,0.09436,1.43916,2.37325,0.93309,0.0015743,0.0015743,0.0015743
45,1993.97,2.57408,3.05158,1.36849,0.6373,0.325,0.34225,0.12835,1.45877,2.29378,0.9274,0.0015644,0.0015644,0.0015644
46,2039.11,2.60138,2.97692,1.36202,0.61146,0.35424,0.37659,0.14977,1.48329,2.28139,0.94692,0.0015545,0.0015545,0.0015545
47,2084.24,2.45568,2.80015,1.28292,0.41069,0.35,0.28487,0.11518,1.46294,2.314,0.94606,0.0015446,0.0015446,0.0015446
48,2129.41,2.53002,2.92211,1.31445,0.60443,0.4,0.35858,0.12893,1.33423,2.3112,0.91285,0.0015347,0.0015347,0.0015347
49,2174.46,2.43341,2.96983,1.25748,0.43123,0.375,0.30614,0.11609,1.41215,2.25831,0.91475,0.0015248,0.0015248,0.0015248
50,2219.58,2.52662,2.93327,1.35025,0.51511,0.35,0.27462,0.13348,1.56147,2.32893,1.00209,0.0015149,0.0015149,0.0015149
51,2264.73,2.46573,2.91743,1.32134,0.58538,0.35307,0.32839,0.13396,1.56892,2.28534,1.01318,0.001505,0.001505,0.001505
52,2309.83,2.57516,3.05512,1.35649,0.49279,0.35,0.27343,0.09398,1.61091,2.2674,0.97718,0.0014951,0.0014951,0.0014951
53,2354.97,2.55368,2.90849,1.32511,0.55276,0.37091,0.29302,0.11176,1.44582,2.50984,0.92381,0.0014852,0.0014852,0.0014852
54,2400.1,2.54973,2.91835,1.37199,0.47151,0.425,0.30235,0.11891,1.39259,2.23409,0.93793,0.0014753,0.0014753,0.0014753
55,2445.27,2.55121,3.00287,1.3863,0.50908,0.425,0.32401,0.11685,1.40863,2.65158,0.90981,0.0014654,0.0014654,0.0014654
56,2490.44,2.54251,2.92209,1.37236,0.5398,0.32266,0.31703,0.13323,1.46849,2.65264,0.94415,0.0014555,0.0014555,0.0014555
57,2535.56,2.4875,2.8913,1.3287,0.39137,0.325,0.26056,0.10479,1.29674,2.2374,0.88166,0.0014456,0.0014456,0.0014456
58,2580.67,2.53136,3.00216,1.36413,0.51271,0.45,0.3209,0.11416,1.39665,2.715,0.94364,0.0014357,0.0014357,0.0014357
59,2625.77,2.49033,2.93402,1.33705,0.37709,0.4,0.23604,0.09216,1.38746,2.31298,0.88857,0.0014258,0.0014258,0.0014258
60,2670.91,2.43218,2.87676,1.29825,0.41571,0.40925,0.26752,0.1113,1.51564,2.20662,0.97472,0.0014159,0.0014159,0.0014159
61,2716.08,2.51427,2.98551,1.36612,0.37726,0.45,0.26175,0.09996,1.42584,2.55615,0.96774,0.001406,0.001406,0.001406
62,2761.2,2.42012,2.89666,1.34028,0.52927,0.375,0.30166,0.10942,1.42791,2.36742,0.92686,0.0013961,0.0013961,0.0013961
63,2806.29,2.39941,2.92391,1.29502,0.59514,0.325,0.32275,0.13129,1.42655,2.33274,0.96937,0.0013862,0.0013862,0.0013862
64,2851.29,2.34226,2.82172,1.28237,0.43745,0.3,0.25924,0.09667,1.48359,2.33128,0.92063,0.0013763,0.0013763,0.0013763
65,2896.33,2.33066,2.75378,1.26871,0.47908,0.35,0.32204,0.12511,1.41435,2.16791,0.92153,0.0013664,0.0013664,0.0013664
66,2941.4,2.29498,2.57293,1.23605,0.31984,0.4,0.20787,0.08766,1.39615,2.39179,0.90415,0.0013565,0.0013565,0.0013565
