epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,458.127,1.35278,1.12864,0.97094,0.25302,0.25604,0.14237,0.06338,2.61032,2.64587,2.02257,0.001307,0.001307,0.001307
44,469.583,1.29081,1.12438,0.98701,0.23319,0.15942,0.10656,0.05715,2.59214,2.58772,2.00393,0.0012905,0.0012905,0.0012905
45,481.006,1.27776,1.08099,0.94807,0.21124,0.14361,0.08502,0.04372,2.68513,3.02186,2.11264,0.001274,0.001274,0.001274
46,492.418,1.38075,1.16201,0.98715,0.22953,0.21156,0.1285,0.05303,2.64626,2.47967,2.097,0.0012575,0.0012575,0.0012575
47,503.887,1.32519,1.10014,0.96094,0.26194,0.19324,0.1379,0.06621,2.63215,3.40339,2.0664,0.001241,0.001241,0.001241
48,515.281,1.27973,1.1197,0.98021,0.26287,0.32732,0.18479,0.08433,2.7126,2.64099,2.16908,0.0012245,0.0012245,0.0012245
49,526.79,1.31195,1.11028,0.96022,0.23481,0.23671,0.12912,0.05455,2.76795,2.70148,2.2448,0.001208,0.001208,0.001208
50,538.273,1.28057,1.12876,0.98344,0.30355,0.21256,0.17206,0.08053,2.70685,2.65457,2.24991,0.0011915,0.0011915,0.0011915
51,549.772,1.26696,1.03618,0.93817,0.34347,0.18357,0.13898,0.0781,2.7425,3.81094,2.20361,0.001175,0.001175,0.001175
52,560.753,1.30399,1.01747,0.93095,0.2692,0.18357,0.13698,0.06384,2.68971,2.89026,2.22417,0.0011585,0.0011585,0.0011585
53,571.567,1.29744,1.09392,0.98089,0.20496,0.21256,0.11348,0.04915,2.69137,3.86989,2.18711,0.001142,0.001142,0.001142
54,582.204,1.30564,1.08919,0.98119,0.22917,0.22705,0.14433,0.07578,2.76226,2.78745,2.18856,0.0011255,0.0011255,0.0011255
55,592.86,1.30043,1.06337,0.95592,0.21532,0.23671,0.16103,0.07864,2.56829,2.49691,1.99031,0.001109,0.001109,0.001109
56,603.774,1.29068,1.10562,0.98155,0.27737,0.22705,0.16042,0.06716,2.62041,2.70689,2.05426,0.0010925,0.0010925,0.0010925
57,615.24,1.26392,1.06274,0.95762,0.27849,0.27053,0.16823,0.07047,2.57746,2.54224,2.02703,0.001076,0.001076,0.001076
58,626.624,1.30321,1.02889,0.96542,0.25987,0.28327,0.16871,0.07381,2.67016,3.24954,2.11815,0.0010595,0.0010595,0.0010595
