epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8647,1.25886,1.27067,0.96188,0.09201,0.45522,0.22189,0.11845,2.21352,3.48753,1.57849,0.0674583,0.000328704,0.000328704
2,41.8817,1.15015,1.00067,0.91725,0.32023,0.283,0.23943,0.13389,2.29599,2.16335,1.73151,0.0344551,0.00065876,0.00065876
3,62.4423,1.17334,0.97902,0.93256,0.46929,0.33655,0.29103,0.15636,2.38348,1.99058,1.90136,0.00144848,0.000985516,0.000985516
4,82.6117,1.1384,0.9613,0.90716,0.36765,0.23507,0.18666,0.09988,2.35145,2.46312,1.90589,0.00098515,0.00098515,0.00098515
5,103.109,1.12136,0.90601,0.9264,0.3512,0.34328,0.23629,0.13435,2.42769,2.78671,1.91148,0.0009802,0.0009802,0.0009802
6,123.871,1.11737,0.8783,0.92509,0.28422,0.29478,0.22213,0.12197,2.34453,2.51837,1.89994,0.00097525,0.00097525,0.00097525
7,145.342,1.1215,0.88028,0.92459,0.34584,0.28731,0.20809,0.11521,2.36729,2.44848,1.86718,0.0009703,0.0009703,0.0009703
8,166.49,1.12698,0.9085,0.93696,0.23872,0.28082,0.16719,0.09191,2.46158,2.48938,2.03929,0.00096535,0.00096535,0.00096535
9,187.662,1.12188,0.88275,0.92297,0.40176,0.33582,0.25603,0.14132,2.38611,2.40937,1.93081,0.0009604,0.0009604,0.0009604
10,209.049,1.1013,0.86393,0.89124,0.25899,0.27239,0.18634,0.09246,2.41288,2.90426,1.94514,0.00095545,0.00095545,0.00095545
11,230.509,1.0928,0.89279,0.93837,0.39849,0.36091,0.28028,0.15055,2.41814,2.2424,1.94787,0.0009505,0.0009505,0.0009505
12,251.862,1.04665,0.79853,0.89447,0.33056,0.30769,0.24988,0.127,2.3932,2.17895,1.9535,0.00094555,0.00094555,0.00094555
13,273.307,1.08733,0.85232,0.91843,0.3189,0.26119,0.1754,0.09126,2.41873,2.91423,1.94736,0.0009406,0.0009406,0.0009406
14,294.029,1.06981,0.81644,0.90604,0.31834,0.32463,0.20734,0.10624,2.54217,2.18715,2.05515,0.00093565,0.00093565,0.00093565
15,314.492,1.06176,0.77973,0.89043,0.35492,0.25,0.19258,0.10557,2.39984,2.35177,1.98615,0.0009307,0.0009307,0.0009307
16,335.056,1.04316,0.79893,0.90244,0.41089,0.27612,0.23328,0.13398,2.30842,2.2119,1.87842,0.00092575,0.00092575,0.00092575
17,355.505,1.06704,0.80483,0.89623,0.30065,0.22761,0.18411,0.10446,2.418,2.44962,1.96397,0.0009208,0.0009208,0.0009208
18,375.755,1.01598,0.76934,0.89139,0.27272,0.22388,0.16241,0.08732,2.48582,2.43896,2.08394,0.00091585,0.00091585,0.00091585
19,395.97,1.00345,0.75565,0.88384,0.4665,0.22761,0.19865,0.10962,2.5391,2.35266,2.1388,0.0009109,0.0009109,0.0009109
20,416.217,1.01936,0.7653,0.88635,0.3068,0.22761,0.16219,0.08901,2.41485,2.71553,2.00396,0.00090595,0.00090595,0.00090595
