arquivo,esperado,detectado
paleta-1-25.jpg,25,55
paleta-10-4.jpg,4,11
paleta-140-5.jpg,5,13
paleta-146-4.jpg,4,14
paleta-16-4.jpg,4,11
paleta-17-8.jpg,8,28
paleta-2-2.jpg,2,13
paleta-2-4.jpg,4,10
paleta-203-1.jpg,1,3
paleta-268-3.jpg,3,6
paleta-285-1.jpg,1,8
paleta-33-12.jpg,12,24
paleta-340-9.jpg,9,32
paleta-4-11.jpg,11,26
paleta-4-5.jpg,5,14
paleta-5-20.jpg,20,47
paleta-50-13.jpg,13,38
paleta-9-137.jpg,137,316
