name_file,real_eggs_images,counted_eggs_image,model_name,total_time,image_name,timestamp
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,178,91,best-train2.pt,42.514475,paleta-11-178.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,181,91,best-train2.pt,42.355508,paleta-12-181.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,19,30,best-train2.pt,43.871665,paleta-12-19.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,24,32,best-train2.pt,49.221272,paleta-12-24.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,41,29,best-train2.pt,46.599464,paleta-12-41.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,28,16,best-train2.pt,70.291374,paleta-13-28.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,31,53,best-train2.pt,41.951057,paleta-13-31.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,33,17,best-train2.pt,41.100886,paleta-13-33.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,82,105,best-train2.pt,41.734636,paleta-13-82.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,83,60,best-train2.pt,46.339653,paleta-13-83.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,54,67,best-train2.pt,44.092571,paleta-15-54.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,66,74,best-train2.pt,42.437423,paleta-15-66.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,92,65,best-train2.pt,42.133539,paleta-15-92.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,4,11,best-train2.pt,42.794848,paleta-16-4.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,21,39,best-train2.pt,45.695109,paleta-17-21.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,49,54,best-train2.pt,40.573156,paleta-17-49.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,8,28,best-train2.pt,40.582289,paleta-17-8.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,10,17,best-train2.pt,41.358664,paleta-2-10.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,2,13,best-train2.pt,45.997915,paleta-2-2.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,4,19,best-train2.pt,41.259285,paleta-2-4.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,37,45,best-train2.pt,68.564751,paleta-3-37.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,107,177,best-train2.pt,37.943221,paleta-4-107.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,11,26,best-train2.pt,42.986131,paleta-4-11.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,125,140,best-train2.pt,38.635585,paleta-4-125.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,158,179,best-train2.pt,37.386543,paleta-4-158.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,5,14,best-train2.pt,36.442939,paleta-4-5.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,13,15,best-train2.pt,37.044181,paleta-5-13.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,26,39,best-train2.pt,38.837353,paleta-5-26.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,28,34,best-train2.pt,39.205201,paleta-5-28.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,38,46,best-train2.pt,37.090316,paleta-6-38.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,65,40,best-train2.pt,43.257805,paleta-6-65.jpg,2025-03-26 21:46:54
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-12,14,15,best-train2.pt,43.569116,paleta-7-14.jpg,2025-03-26 21:46:54
